Material,Voltage_V,Area_cm2,Experiment,Block_Config,Range,Messwert_Avg,Messwert_Delta,Mass_g_Avg,Mass_g_Delta,Fn_avg,Fn_delta,mu_avg,mu_delta
Stahl,5V,39.0,Weight_Var,B+1+2+3+4,3.0-3.3,3.15,0.1499999999999999,1241.2,0.223606797749979,12.176172000000001,0.002193582685927294,0.25870199599677135,0.012319230827002862
Stahl,5V,39.0,Weight_Var,B+1+2+3+4,2.95-3.4,3.175,0.22499999999999987,1241.2,0.223606797749979,12.176172000000001,0.002193582685927294,0.26075518644119017,0.018478773710163807
Stahl,5V,39.0,Weight_Var,B+1+2+3+4,2.95-3.4,3.175,0.22499999999999987,1241.2,0.223606797749979,12.176172000000001,0.002193582685927294,0.26075518644119017,0.018478773710163807
Stahl,5V,39.0,Weight_Var,B+1+2+3,2.6-3.1,2.85,0.25,1084.8,0.2,10.641888,0.001962,0.26780962175132833,0.023492123970763956
Stahl,5V,39.0,Weight_Var,B+1+2+3,2.65-3.1,2.875,0.2250000000000001,1084.8,0.2,10.641888,0.001962,0.2701588289596733,0.021142923543544294
Stahl,5V,39.0,Weight_Var,B+1+2+3,2.65-3.1,2.875,0.2250000000000001,1084.8,0.2,10.641888,0.001962,0.2701588289596733,0.021142923543544294
Stahl,5V,39.0,Weight_Var,B+1+2,2.35-2.75,2.55,0.19999999999999996,930.6999999999999,0.17320508075688776,9.130167,0.001699141842225069,0.27929390557697353,0.021905466024564453
Stahl,5V,39.0,Weight_Var,B+1+2,2.35-2.8,2.575,0.22499999999999987,930.6999999999999,0.17320508075688776,9.130167,0.001699141842225069,0.28203208112184586,0.024643635797770215
Stahl,5V,39.0,Weight_Var,B+1+2,2.45-2.8,2.625,0.17499999999999982,930.6999999999999,0.17320508075688776,9.130167,0.001699141842225069,0.28750843221159045,0.019167303495571338
Stahl,5V,39.0,Weight_Var,B+1,2.0-2.4,2.2,0.19999999999999996,776.8,0.14142135623730953,7.620407999999999,0.0013873435046880065,0.2886984528912363,0.02624536652737373
Stahl,5V,39.0,Weight_Var,B+1,2.0-2.4,2.2,0.19999999999999996,776.8,0.14142135623730953,7.620407999999999,0.0013873435046880065,0.2886984528912363,0.02624536652737373
Stahl,5V,39.0,Weight_Var,B+1,2.0-2.4,2.2,0.19999999999999996,776.8,0.14142135623730953,7.620407999999999,0.0013873435046880065,0.2886984528912363,0.02624536652737373
Stahl,5V,39.0,Weight_Var,B,1.65-1.9,1.775,0.125,616.0,0.1,6.04296,0.000981,0.2937302249228855,0.020685282067025416
Stahl,5V,39.0,Weight_Var,B,1.65-1.9,1.775,0.125,616.0,0.1,6.04296,0.000981,0.2937302249228855,0.020685282067025416
Stahl,5V,39.0,Weight_Var,B,1.65-1.85,1.75,0.10000000000000009,616.0,0.1,6.04296,0.000981,0.28959317950143637,0.01654824846389998
Weiss,5V,40.0,Weight_Var,B+1+2+3+4,1.8-2.05,1.9249999999999998,0.12499999999999989,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.15057423145347854,0.009777581631081281
Weiss,5V,40.0,Weight_Var,B+1+2+3+4,1.75-2.00,1.875,0.125,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.14666321245468691,0.00977757988091265
Weiss,5V,40.0,Weight_Var,B+1+2+3+4,1.75-2.05,1.9,0.1499999999999999,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.14861872195408274,0.011733084707439969
Weiss,5V,40.0,Weight_Var,B+1+2+3,1.65-1.85,1.75,0.10000000000000009,1146.8,0.2,11.250108,0.001962,0.15555406223655807,0.00888884495377054
Weiss,5V,40.0,Weight_Var,B+1+2+3,1.7-1.85,1.775,0.07500000000000007,1146.8,0.2,11.250108,0.001962,0.15777626312565174,0.006666659452007418
Weiss,5V,40.0,Weight_Var,B+1+2+3,1.75-1.85,1.8,0.050000000000000044,1146.8,0.2,11.250108,0.001962,0.15999846401474546,0.004444489371038289
Weiss,5V,40.0,Weight_Var,B+1+2,1.6-1.75,1.675,0.07499999999999996,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.17199973671204483,0.007701539218543247
Weiss,5V,40.0,Weight_Var,B+1+2,1.65-1.75,1.7,0.050000000000000044,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.17456689696147834,0.005134410841387651
Weiss,5V,40.0,Weight_Var,B+1+2,1.65-1.8,1.725,0.07500000000000007,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.17713405721091185,0.007701542761390662
Weiss,5V,40.0,Weight_Var,B+1,1.45-1.55,1.5,0.050000000000000044,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.1822904134200744,0.006076424839849486
Weiss,5V,40.0,Weight_Var,B+1,1.45-1.6,1.525,0.07500000000000007,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.18532858697707563,0.009114574230054968
Weiss,5V,40.0,Weight_Var,B+1,1.45-1.6,1.525,0.07500000000000007,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.18532858697707563,0.009114574230054968
Weiss,5V,40.0,Weight_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,5V,40.0,Weight_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,5V,40.0,Weight_Var,B,1.2-1.35,1.275,0.07500000000000007,678.0,0.1,6.651180000000001,0.000981,0.19169530820095076,0.011276230046309425
Schwarz,5V,39.0,Weight_Var,B+1+2+3+4,4.15-4.25,4.2,0.04999999999999982,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.32852559589849867,0.003911425202432035
Schwarz,5V,39.0,Weight_Var,B+1+2+3+4,3.9-4.05,3.9749999999999996,0.07499999999999996,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.3109260104039362,0.005866771070825542
Schwarz,5V,39.0,Weight_Var,B+1+2+3+4,4.0-4.15,4.075,0.07500000000000018,1303.2,0.223606797749979,12.784392000000002,0.002193582685927294,0.31874804840151955,0.0058667834289905735
Schwarz,5V,39.0,Weight_Var,B+1+2+3,3.55-3.75,3.65,0.10000000000000009,1146.8,0.2,11.250108,0.001962,0.32444132980767826,0.008888983642089975
Schwarz,5V,39.0,Weight_Var,B+1+2+3,3.6-3.8,3.7,0.09999999999999987,1146.8,0.2,11.250108,0.001962,0.32888573158586565,0.008888988609686987
Schwarz,5V,39.0,Weight_Var,B+1+2+3,3.65-3.85,3.75,0.10000000000000009,1146.8,0.2,11.250108,0.001962,0.33333013336405304,0.008888993644867558
Schwarz,5V,39.0,Weight_Var,B+1+2,3.25-3.4,3.325,0.07499999999999996,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.34143231317465617,0.007701711148964162
Schwarz,5V,39.0,Weight_Var,B+1+2,3.25-3.45,3.35,0.10000000000000009,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.34399947342408965,0.010268816407629921
Schwarz,5V,39.0,Weight_Var,B+1+2,3.25-3.45,3.35,0.10000000000000009,992.6999999999999,0.17320508075688776,9.738387,0.001699141842225069,0.34399947342408965,0.010268816407629921
Schwarz,5V,39.0,Weight_Var,B+1,2.8-2.95,2.875,0.07500000000000018,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.3493899590551426,0.009114711026590219
Schwarz,5V,39.0,Weight_Var,B+1,2.8-2.95,2.875,0.07500000000000018,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.3493899590551426,0.009114711026590219
Schwarz,5V,39.0,Weight_Var,B+1,2.8-3.0,2.9,0.10000000000000009,838.8,0.14142135623730953,8.228628,0.0013873435046880065,0.35242813261214384,0.012152839489037713
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Schwarz,5V,39.0,Weight_Var,B,2.3-2.45,2.375,0.07500000000000018,678.0,0.1,6.651180000000001,0.000981,0.3570794956684377,0.011276317591672986
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Stahl,5V,20.0,Small_Area,B,1.4-1.5,1.45,0.050000000000000044,616.0,0.1,6.04296,0.000981,0.2399486344440473,0.008274182532999854
Weiss,5V,20.0,Small_Area,B,0.95-1.0,0.975,0.025000000000000022,678.0,0.1,6.651180000000001,0.000981,0.14659052980072707,0.003758793717193182
Weiss,5V,20.0,Small_Area,B,0.95-1.05,1.0,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.15034926133407905,0.007517495773723186
Weiss,5V,20.0,Small_Area,B,0.95-1.05,1.0,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.15034926133407905,0.007517495773723186
Schwarz,5V,20.4,Small_Area,B,1.85-1.95,1.9,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.28566359653475015,0.0075175811383729725
Schwarz,5V,20.4,Small_Area,B,1.85-1.95,1.9,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.28566359653475015,0.0075175811383729725
Schwarz,5V,20.4,Small_Area,B,1.9-2.0,1.95,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.29318105960145413,0.007517587434386364
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,7V,39.0,Voltage_Var,B,1.5-1.9,1.7,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2813190886585382,0.033096394880003654
Stahl,9V,39.0,Voltage_Var,B,1.5-1.95,1.725,0.22499999999999998,616.0,0.1,6.04296,0.000981,0.2854561340799873,0.03723343763032704
Stahl,9V,39.0,Voltage_Var,B,1.5-2.0,1.75,0.25,616.0,0.1,6.04296,0.000981,0.28959317950143637,0.04137048092577762
Stahl,9V,39.0,Voltage_Var,B,1.6-2.0,1.8,0.19999999999999996,616.0,0.1,6.04296,0.000981,0.2978672703443346,0.033096398695899136
Stahl,11V,39.0,Voltage_Var,B,1.45-2.5,1.975,0.525,616.0,0.1,6.04296,0.000981,0.32682658829447825,0.08687797005112854
Stahl,11V,39.0,Voltage_Var,B,1.35-2.25,1.8,0.44999999999999996,616.0,0.1,6.04296,0.000981,0.2978672703443346,0.07446683328578209
Stahl,11V,39.0,Voltage_Var,B,1.35-2.15,1.75,0.3999999999999999,616.0,0.1,6.04296,0.000981,0.28959317950143637,0.06619274343774292
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,7V,40.0,Voltage_Var,B,1.25-1.35,1.3,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.19545403973430275,0.007517518341483485
Weiss,9V,40.0,Voltage_Var,B,1.35-1.45,1.4,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.21048896586771065,0.007517527172327752
Weiss,9V,40.0,Voltage_Var,B,1.35-1.5,1.425,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.21424769740106264,0.011276238877192594
Weiss,9V,40.0,Voltage_Var,B,1.35-1.45,1.4,0.04999999999999993,678.0,0.1,6.651180000000001,0.000981,0.21048896586771065,0.007517527172327752
Weiss,11V,40.0,Voltage_Var,B,1.4-1.5,1.45,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.2180064289344146,0.007517531833046958
Weiss,11V,40.0,Voltage_Var,B,1.4-1.55,1.475,0.07500000000000007,678.0,0.1,6.651180000000001,0.000981,0.2217651604677666,0.011276242038865155
Weiss,11V,40.0,Voltage_Var,B,1.4-1.55,1.475,0.07500000000000007,678.0,0.1,6.651180000000001,0.000981,0.2217651604677666,0.011276242038865155
Schwarz,7V,39.0,Voltage_Var,B,2.35-2.5,2.425,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.36459695873514164,0.011276322824749122
Schwarz,7V,39.0,Voltage_Var,B,2.35-2.55,2.45,0.09999999999999987,678.0,0.1,6.651180000000001,0.000981,0.3683556902684937,0.01503502429524244
Schwarz,7V,39.0,Voltage_Var,B,2.4-2.6,2.5,0.10000000000000009,678.0,0.1,6.651180000000001,0.000981,0.3758731533351976,0.015035028342717935
Schwarz,9V,39.0,Voltage_Var,B,2.4-2.55,2.4749999999999996,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37211442180184556,0.011276328166845205
Schwarz,9V,39.0,Voltage_Var,B,2.4-2.55,2.4749999999999996,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37211442180184556,0.011276328166845205
Schwarz,9V,39.0,Voltage_Var,B,2.45-2.6,2.5250000000000004,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37963188486854965,0.011276333617961048
Schwarz,11V,39.0,Voltage_Var,B,2.4-2.5,2.45,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.3683556902684937,0.007517659388450441
Schwarz,11V,39.0,Voltage_Var,B,2.45-2.55,2.5,0.04999999999999982,678.0,0.1,6.651180000000001,0.000981,0.3758731533351976,0.007517667483239519
Schwarz,11V,39.0,Voltage_Var,B,2.5-2.6,2.55,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.38339061640190153,0.007517675741550775
